id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
43,CZE_fix,solar,721.3,20,0,25,0.07,0,0,0.001,CZE,1043.27775,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
44,DEU_fix,solar,721.3,20,0,25,0.07,0,0,0.001,DEU,4077.3099,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
45,DNK_fix,solar,721.3,20,0,25,0.07,0,0,0.001,DNK,600.7147,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
46,ESP_fix,solar,721.3,20,0,25,0.07,0,0,0.001,ESP,8836.6956,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
47,EST_fix,solar,721.3,20,0,25,0.07,0,0,0.001,EST,476.66185,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
48,FIN_fix,solar,721.3,20,0,25,0.07,0,0,0.001,FIN,2555.40365,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
49,FRA_fix,solar,721.3,20,0,25,0.07,0,0,0.001,FRA,7535.20785,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
50,GBR_fix,solar,721.3,20,0,25,0.07,0,0,0.001,GBR,3063.74585,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
51,GRC_fix,solar,721.3,20,0,25,0.07,0,0,0.001,GRC,1039.0781,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
52,HRV_fix,solar,721.3,10.63,0,25,0.07,0,0,0.001,HRV,630.01755,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
53,HUN_fix,solar,721.3,20,0,25,0.07,0,0,0.001,HUN,2296.07475,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
54,IRL_fix,solar,721.3,20,0,25,0.07,0,0,0.001,IRL,1135.1516,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
55,ITA_fix,solar,721.3,20,0,25,0.07,0,0,0.001,ITA,2220.2123,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
56,LTU_fix,solar,721.3,20,0,25,0.07,0,0,0.001,LTU,937.1279,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
57,LUX_fix,solar,721.3,20,0,25,0.07,0,0,0.001,LUX,26.348,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
58,LVA_fix,solar,721.3,20,0,25,0.07,0,0,0.001,LVA,732.35435,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
59,MKD_fix,solar,721.3,10.63,0,25,0.07,0,0,0.001,MKD,211.5722,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
60,MNE_fix,solar,721.3,10.63,0,25,0.07,0,0,0.001,MNE,49.4182,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
61,NLD_fix,solar,721.3,20,0,25,0.07,0,0,0.001,NLD,283.37655,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
62,NOR_fix,solar,721.3,20,0,25,0.07,0,0,0.001,NOR,4091.9327,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
63,POL_fix,solar,721.3,20,0,25,0.07,0,0,0.001,POL,4836.9119,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
64,PRT_fix,solar,721.3,20,0,25,0.07,0,0,0.001,PRT,1130.2359,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
65,ROU_fix,solar,721.3,10.63,0,25,0.07,0,0,0.001,ROU,4133.71145,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
66,SRB_fix,solar,721.3,10.63,0,25,0.07,0,0,0.001,SRB,1033.36265,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
67,SVK_fix,solar,721.3,20,0,25,0.07,0,0,0.001,SVK,567.07775,0,0,pv_connection,pv_fixed,FALSE,7percent,FALSE,
