id,name,fuel,capex,fom,vom,lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,is_flexible,scenarios,near_optimum,range_group
41,BIH_pv,solar,691,5,0,25,0.135,0,0,0.001,BIH,551.4545,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
42,CHE_pv,solar,691,5,0,25,0.029,0,0,0.001,CHE,117.5532,0,0,pv_connection,solar,FALSE,"test,base,zerocarbon",FALSE,
43,CYP_pv,solar,691,5,0,25,0.057,0,0,0.001,CYP,153.6288,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
44,CZE_pv,solar,691,5,0,25,0.05,0,0,0.001,CZE,2086.5555,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
45,DEU_pv,solar,691,5,0,25,0.023,0,0,0.001,DEU,8154.6198,0,0,pv_connection,solar,FALSE,"test,base,zerocarbon",FALSE,
46,DNK_pv,solar,691,5,0,25,0.032,0,0,0.001,DNK,1201.4294,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
47,ESP_pv,solar,691,5,0,25,0.052,0,0,0.001,ESP,17673.3912,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
48,EST_pv,solar,691,5,0,25,0.064,0,0,0.001,EST,953.3237,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
49,FIN_pv,solar,691,5,0,25,0.061,0,0,0.001,FIN,5110.8073,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
50,FRA_pv,solar,691,5,0,25,0.029,0,0,0.001,FRA,15070.4157,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
51,GBR_pv,solar,691,5,0,25,0.03,0,0,0.001,GBR,6127.4917,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
52,GRC_pv,solar,691,5,0,25,0.05,0,0,0.001,GRC,2078.1562,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
53,HRV_pv,solar,691,5,0,25,0.064,0,0,0.001,HRV,1260.0351,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
54,HUN_pv,solar,691,5,0,25,0.052,0,0,0.001,HUN,4592.1495,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
55,IRL_pv,solar,691,5,0,25,0.067,0,0,0.001,IRL,2270.3032,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
56,ITA_pv,solar,691,5,0,25,0.046,0,0,0.001,ITA,4440.4246,0,0,pv_connection,solar,FALSE,"base,zerocarbon",FALSE,
