id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
37,DEU-DNK,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,DNK,0.009665981416031588,3.0,30.0,0.0,ac_ohl_transmission,all,False,
38,DEU-FRA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,FRA,0.009665981416031588,2.9,29.0,0.0,ac_ohl_transmission,all,False,
39,DEU-LUX,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,LUX,0.009665981416031588,2.9,29.0,0.0,ac_ohl_transmission,all,False,
40,DEU-NLD,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,NLD,0.009665981416031588,8.5,42.5,0.0,ac_ohl_transmission,all,False,
41,DEU-POL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DEU,POL,0.009665981416031588,5.1,25.5,0.0,ac_ohl_transmission,all,False,
42,DEU-DNK,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,DNK,0.0,1.95,19.5,0.0,dc_subsea_transmission,all,False,
43,DEU-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,GBR,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
44,DEU-NOR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,NOR,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
45,DEU-SWE,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DEU,SWE,0.0,2.6,26.0,0.0,dc_subsea_transmission,all,False,
46,DEU-BEL,1.0,755.0,0.0,11.325,0.0,60.0,0.05,DEU,BEL,0.0,2.0,20.0,0.0,dc_underground_transmission,all,False,
47,DNK-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DNK,DEU,0.009665981416031588,3.0,30.0,0.0,ac_ohl_transmission,all,False,
48,DNK-SWE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,DNK,SWE,0.009665981416031588,1.7,17.0,0.0,ac_ohl_transmission,all,False,
49,DNK-DEU,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,DEU,0.0,1.95,19.5,0.0,dc_subsea_transmission,all,False,
50,DNK-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,GBR,0.0,1.4,14.0,0.0,dc_subsea_transmission,all,False,
51,DNK-NLD,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,NLD,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
52,DNK-NOR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,NOR,0.0,1.7,17.0,0.0,dc_subsea_transmission,all,False,
53,DNK-POL,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,POL,0.0,0.6,24.0,0.0,dc_subsea_transmission,all,False,
54,DNK-SWE,1.0,942.0,0.0,14.13,0.0,60.0,0.05,DNK,SWE,0.0,0.74,29.6,0.0,dc_subsea_transmission,all,False,
55,ESP-FRA,1.0,516.0,0.0,7.74,0.0,60.0,0.05,ESP,FRA,0.007236986168440374,2.0,20.0,0.0,ac_ohl_mountain_transmission,all,False,
56,ESP-FRA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ESP,FRA,0.009665981416031588,0.1,4.0,0.0,ac_ohl_transmission,all,False,
57,ESP-PRT,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ESP,PRT,0.009665981416031588,3.55,35.5,0.0,ac_ohl_transmission,all,False,
58,ESP-FRA,1.0,942.0,0.0,14.13,0.0,60.0,0.05,ESP,FRA,0.0,4.5,45.0,0.0,dc_subsea_transmission,all,False,
59,ESP-FRA,1.0,755.0,0.0,11.325,0.0,60.0,0.05,ESP,FRA,0.0,4.3,43.0,0.0,dc_underground_transmission,all,False,
60,EST-LVA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,EST,LVA,0.009665981416031588,0.95,38.0,0.0,ac_ohl_transmission,all,False,
61,EST-FIN,1.0,942.0,0.0,14.13,0.0,60.0,0.05,EST,FIN,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
62,FIN-NOR,1.0,175.0,0.0,2.625,0.0,60.0,0.05,FIN,NOR,0.009665981416031588,0.05,2.0,0.0,ac_ohl_transmission,all,False,
63,FIN-SWE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,FIN,SWE,0.009665981416031588,3.15,31.5,0.0,ac_ohl_transmission,all,False,
64,FIN-EST,1.0,942.0,0.0,14.13,0.0,60.0,0.05,FIN,EST,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
65,FIN-SWE,1.0,942.0,0.0,14.13,0.0,60.0,0.05,FIN,SWE,0.0,0.8,32.0,0.0,dc_subsea_transmission,all,False,
66,FRA-ESP,1.0,516.0,0.0,7.74,0.0,60.0,0.05,FRA,ESP,0.007236986168440374,2.0,20.0,0.0,ac_ohl_mountain_transmission,all,False,
67,FRA-ITA,1.0,516.0,0.0,7.74,0.0,60.0,0.05,FRA,ITA,0.007236986168440374,4.8,48.0,0.0,ac_ohl_mountain_transmission,all,False,
68,FRA-BEL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,FRA,BEL,0.009665981416031588,4.6,46.0,0.0,ac_ohl_transmission,all,False,
69,FRA-CHE,1.0,175.0,0.0,2.625,0.0,60.0,0.05,FRA,CHE,0.009665981416031588,9.5,47.5,0.0,ac_ohl_transmission,all,False,
70,FRA-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,FRA,DEU,0.009665981416031588,2.9,29.0,0.0,ac_ohl_transmission,all,False,
71,FRA-ESP,1.0,175.0,0.0,2.625,0.0,60.0,0.05,FRA,ESP,0.009665981416031588,0.1,4.0,0.0,ac_ohl_transmission,all,False,
72,FRA-ESP,1.0,942.0,0.0,14.13,0.0,60.0,0.05,FRA,ESP,0.0,4.5,45.0,0.0,dc_subsea_transmission,all,False,
73,FRA-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,FRA,GBR,0.0,7.6,38.0,0.0,dc_subsea_transmission,all,False,
