id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
163,SVK-HUN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SVK,HUN,0.009665981416031588,5.4,27.0,0.0,ac_ohl_transmission,all,False,
164,SVK-POL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SVK,POL,0.009665981416031588,0.6,24.0,0.0,ac_ohl_transmission,all,False,
165,SVN-AUT,1.0,516.0,0.0,7.74,0.0,60.0,0.05,SVN,AUT,0.007236986168440374,1.6,16.0,0.0,ac_ohl_mountain_transmission,all,False,
166,SVN-HRV,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SVN,HRV,0.009665981416031588,3.4,34.0,0.0,ac_ohl_transmission,all,False,
167,SVN-HUN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SVN,HUN,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
168,SVN-ITA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SVN,ITA,0.009665981416031588,2.6,26.0,0.0,ac_ohl_transmission,all,False,
169,SVN-ITA,1.0,755.0,0.0,11.325,0.0,60.0,0.05,SVN,ITA,0.0,1.0,40.0,0.0,dc_underground_transmission,all,False,
170,SWE-DNK,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SWE,DNK,0.009665981416031588,1.7,17.0,0.0,ac_ohl_transmission,all,False,
171,SWE-FIN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SWE,FIN,0.009665981416031588,3.15,31.5,0.0,ac_ohl_transmission,all,False,
172,SWE-NOR,1.0,175.0,0.0,2.625,0.0,60.0,0.05,SWE,NOR,0.009665981416031588,4.098,40.98,0.0,ac_ohl_transmission,all,False,
173,SWE-DEU,1.0,942.0,0.0,14.13,0.0,60.0,0.05,SWE,DEU,0.0,2.6,26.0,0.0,dc_subsea_transmission,all,False,
174,SWE-DNK,1.0,942.0,0.0,14.13,0.0,60.0,0.05,SWE,DNK,0.0,0.74,29.6,0.0,dc_subsea_transmission,all,False,
175,SWE-FIN,1.0,942.0,0.0,14.13,0.0,60.0,0.05,SWE,FIN,0.0,0.8,32.0,0.0,dc_subsea_transmission,all,False,
176,SWE-LTU,1.0,942.0,0.0,14.13,0.0,60.0,0.05,SWE,LTU,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
177,SWE-POL,1.0,942.0,0.0,14.13,0.0,60.0,0.05,SWE,POL,0.0,0.6,24.0,0.0,dc_subsea_transmission,all,False,
178,other_connections,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,0.0,0.0,0.0,,all,False,
179,pv_connection,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,0.0,0.0,0.0,,all,False,
180,onsw_connection,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,0.0,0.0,0.0,,all,False,
181,offw_connection,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,0.0,0.0,0.0,,all,False,
182,phes_connection,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,0.0,0.0,0.0,,all,False,
183,bess_connection,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,0.0,0.0,0.0,,all,False,
