Bus,x,y
AL0 0,19.84591,41.511340000000004
AT0 0,13.874983050847458,47.48880677966101
BA0 0,18.00146785714286,43.935339285714285
BE0 0,5.386936363636364,50.419036363636366
BE0 1,3.9233866666666666,51.02055333333333
BG0 0,24.56186551724138,42.74418275862069
CH0 0,8.20485,46.85349339622641
CZ0 0,15.201892307692308,49.748194230769236
DE0 0,10.913373076923078,50.00051153846154
DE0 1,8.735729166666667,50.177306249999994
DE0 10,13.087433333333333,53.23448666666666
DE0 11,7.194716455696203,51.29931518987342
DE0 12,12.021873913043478,51.273700000000005
DE0 2,9.827546666666667,51.689040000000006
DE0 3,13.948876470588235,51.650894117647056
DE0 4,12.13219,48.84717
DE0 5,8.179605454545454,52.606427272727274
DE0 6,8.65537619047619,48.634795238095236
DE0 7,10.480070833333334,48.1384875
DE0 8,7.039654545454546,49.82477272727272
DE0 9,9.806735714285715,53.87795714285715
DK0 0,9.60134,55.876443333333334
DK1 0,12.295910000000001,55.52812
EE0 0,25.438971428571428,58.68161071428572
ES0 0,-0.9658883333333333,39.010495
ES0 1,-6.9325784810126585,42.579010126582276
ES0 2,1.2558310344827586,41.640903448275864
ES0 3,-2.4792840000000003,42.535228000000004
ES0 4,-5.4404677419354845,37.49476935483871
ES0 5,-4.496551851851852,40.55333456790123
ES2 0,2.7,39.60334
FI1 0,26.052632432432432,64.7836972972973
FI1 1,23.624287719298245,61.528873684210524
FR0 0,4.483217777777778,44.16943333333333
FR0 1,2.184750684931507,48.74660273972603
FR0 10,2.7816875,50.30088333333333
FR0 11,5.419228767123288,45.92178219178082
FR0 12,-0.23818064516129034,44.3626
FR0 2,-0.25359722222222225,46.69262222222223
FR0 3,6.81322,48.43394
FR0 4,-2.558242857142857,47.960210714285715
FR0 5,-0.1062037037037037,48.878055555555555
FR0 6,2.219887878787879,43.590827272727275
FR0 7,4.408945238095238,48.59344047619048
FR0 8,2.379646875,45.87685
FR0 9,6.2095488888888895,43.854955555555556
FR6 0,9.4506,42.5288
GB3 0,-3.6371261904761902,55.84736904761905
GB3 1,0.21270217391304347,51.62883913043478
GB3 2,-2.818942105263158,53.37081842105263
GB3 3,-3.3585806451612905,51.28119032258064
GB3 4,-1.2769785714285713,54.073190476190476
GB3 5,-1.4352178571428573,52.69829642857143
GB3 6,-3.509213043478261,57.637182608695646
GB3 7,-1.4657944444444444,51.42341111111111
GB4 0,-6.14565,54.59580833333333
GR0 0,22.71791379310345,39.36488965517241
HR0 0,16.349133333333334,45.02097916666667
HU0 0,19.27786511627907,47.334544186046514
IE4 0,-7.704942857142857,52.8218119047619
IT0 0,12.713504,42.449684
IT0 1,14.616980555555557,41.29660833333333
IT0 2,8.765225490196078,45.382110784313724
IT0 3,14.47129,37.75065
IT0 4,11.878198214285714,45.88120357142857
IT0 5,10.983140476190476,44.351930952380954
IT0 6,16.78384090909091,40.122231818181824
IT5 0,8.768672727272728,39.93009090909091
LT0 0,23.36812380952381,55.331671428571426
LU0 0,6.087366666666667,49.675016666666664
LV0 0,23.850360000000002,56.94544333333333
ME0 0,19.159299999999998,42.75533
MK0 0,21.59992857142857,41.69941428571428
NL0 0,6.3775615384615385,52.602294871794875
NL0 1,4.554268181818181,52.01936818181818
NO1 0,6.720354464285714,59.998340178571425
NO1 1,16.42623,67.314195
NO1 2,10.383698666666668,60.732623999999994
PL0 0,19.44021836734694,50.45781428571428
PL0 1,19.04412857142857,53.09803333333333
PL0 2,16.062075675675676,52.218648648648646
PL0 3,21.677172972972972,51.5545945945946
PT0 0,-8.112985294117648,40.08660588235294
RO0 0,24.983443750000003,45.54484166666666
RS0 0,20.767234210526315,44.36575263157895
SE1 0,13.450366129032258,57.28454516129032
SE1 1,16.132706201550388,61.24132558139535
SE1 2,18.73143442622951,64.85808524590163
SI0 0,14.979000000000001,46.16978461538462
SK0 0,19.058834285714287,48.673454285714286
