bus,marginal_cost
AT0 0,46.589307502346536
BE0 0,46.803120689655174
BE0 1,46.80312068965517
BG0 0,46.803120689655174
CH0 0,46.803120689655174
DE0 0,59.54056331150483
DE0 1,51.936062256185615
DE0 10,52.729741424238966
DE0 11,55.42248491889216
DE0 12,52.32025835827851
DE0 2,51.761936868555935
DE0 3,51.32684011380529
DE0 4,53.881491915459094
DE0 5,53.23855921481151
DE0 6,60.03706124730563
DE0 7,55.626697112331954
DE0 8,51.4677765709252
DE0 9,57.3574112240224
DK0 0,50.73735790541262
DK1 0,46.803120689655174
EE0 0,46.803120689655174
ES0 0,61.68430597132561
ES0 1,46.67718701796499
ES0 2,46.80312068965516
ES0 3,58.120820563553465
ES0 4,48.33882229672945
ES0 5,46.80312068965518
ES2 0,46.803120689655174
FI1 0,46.803120689655174
FI1 1,43.9042260540782
FR0 0,47.36691885163852
FR0 1,46.803120689655174
FR0 10,46.168061622771425
FR0 11,46.803120689655174
FR0 12,46.803120689655174
FR0 3,47.086775233625524
FR0 4,54.05390770658961
FR0 5,46.803120689655174
FR0 8,47.41351932181455
FR6 0,46.803120689655174
GB3 0,46.803120689655174
GB3 1,46.80312068965518
GB3 2,46.80312068965518
GB3 3,46.80312068965517
GB3 4,46.80312068965517
GB3 5,46.803120689655174
GB3 6,46.803120689655174
GB3 7,46.80312068965519
GB4 0,46.803120689655174
GR0 0,48.06545619071036
HR0 0,46.80312068965518
HU0 0,46.65563941365579
IE4 0,54.55488273335465
IT0 0,51.633215718035835
IT0 1,50.03317105983905
IT0 2,61.55270662669789
IT0 3,59.3884099537001
IT0 4,46.80312068965516
IT0 5,47.04613301065307
IT0 6,46.80312068965518
LT0 0,46.803120689655174
LV0 0,46.80312068965518
MK0 0,46.803120689655174
NL0 0,48.90533345412728
NL0 1,61.21274136287485
NO1 0,46.803120689655174
NO1 1,46.803120689655174
PL0 0,46.803120689655174
PL0 1,46.80312068965518
PL0 2,46.803120689655174
PL0 3,46.803120689655174
PT0 0,46.90221996637235
RO0 0,46.803120689655174
RS0 0,46.803120689655174
SE1 0,46.803120689655174
SE1 1,46.803120689655174
SI0 0,46.803120689655174
SK0 0,91.64973636767783
