locs,techs,current,potential
MKD,ac_ohl_transmission:BGR,0.7,28
MKD,ac_ohl_transmission:GRC,0.6,24
MKD,ac_ohl_transmission:SRB,1.9,19
MNE,ac_ohl_mountain_transmission:BIH,1.4,14
MNE,ac_ohl_mountain_transmission:SRB,2.9,29
MNE,ac_ohl_transmission:ALB,0.9,36
MNE,dc_subsea_transmission:ITA,1.2,12
NLD,ac_ohl_transmission:BEL,3.5,35
NLD,ac_ohl_transmission:DEU,8.5,42.5
NLD,dc_subsea_transmission:DNK,0.7,28
NLD,dc_subsea_transmission:GBR,1,40
NLD,dc_subsea_transmission:NOR,0.7,28
NOR,ac_ohl_transmission:FIN,0.05,2
NOR,ac_ohl_transmission:SWE,4.098,40.98
NOR,dc_subsea_transmission:DEU,1.4,14
NOR,dc_subsea_transmission:DNK,1.7,17
NOR,dc_subsea_transmission:GBR,3.4,34
NOR,dc_subsea_transmission:NLD,0.7,28
POL,ac_ohl_transmission:CZE,2.1,21
POL,ac_ohl_transmission:DEU,5.1,25.5
POL,ac_ohl_transmission:LTU,1,40
POL,ac_ohl_transmission:SVK,0.6,24
POL,dc_subsea_transmission:DNK,0.6,24
POL,dc_subsea_transmission:SWE,0.6,24
PRT,ac_ohl_transmission:ESP,3.55,35.5
ROU,ac_ohl_transmission:BGR,1.7,17
ROU,ac_ohl_transmission:HUN,1.4,14
ROU,ac_ohl_transmission:SRB,2.5,25
SRB,ac_ohl_mountain_transmission:MNE,2.9,29
SRB,ac_ohl_transmission:ALB,0.9,36
SRB,ac_ohl_transmission:BGR,0.9,36
SRB,ac_ohl_transmission:BIH,3.1,31
SRB,ac_ohl_transmission:HRV,0.7,28
SRB,ac_ohl_transmission:HUN,0.7,28
SRB,ac_ohl_transmission:MKD,1.9,19
SRB,ac_ohl_transmission:ROU,2.5,25
SVK,ac_ohl_transmission:CZE,2.7,27
SVK,ac_ohl_transmission:HUN,5.4,27
SVK,ac_ohl_transmission:POL,0.6,24
SVN,ac_ohl_mountain_transmission:AUT,1.6,16
SVN,ac_ohl_transmission:HRV,3.4,34
SVN,ac_ohl_transmission:HUN,0.9,36
SVN,ac_ohl_transmission:ITA,2.6,26
SVN,dc_underground_transmission:ITA,1,40
SWE,ac_ohl_transmission:DNK,1.7,17
SWE,ac_ohl_transmission:FIN,3.15,31.5
SWE,ac_ohl_transmission:NOR,4.098,40.98
SWE,dc_subsea_transmission:DEU,2.6,26
SWE,dc_subsea_transmission:DNK,0.74,29.6
SWE,dc_subsea_transmission:FIN,0.8,32
SWE,dc_subsea_transmission:LTU,0.7,28
SWE,dc_subsea_transmission:POL,0.6,24
