locs,techs,energy_cap_max
MKD,ac_ohl_mountain_transmission:ALB,28.000000000000004
MKD,ac_ohl_transmission:BGR,28.000000000000004
MKD,ac_ohl_transmission:GRC,24.000000000000004
MKD,ac_ohl_transmission:SRB,19.0
MNE,ac_ohl_mountain_transmission:BIH,14.000000000000002
MNE,ac_ohl_mountain_transmission:SRB,29.000000000000004
MNE,ac_ohl_transmission:ALB,36.00000000000001
MNE,dc_subsea_transmission:ITA,12.000000000000002
NLD,ac_ohl_transmission:BEL,35.0
NLD,ac_ohl_transmission:DEU,42.50000000000001
NLD,dc_subsea_transmission:DNK,28.000000000000004
NLD,dc_subsea_transmission:GBR,40.0
NLD,dc_subsea_transmission:NOR,28.000000000000004
NOR,ac_ohl_transmission:FIN,2.0
NOR,ac_ohl_transmission:SWE,40.980000000000004
NOR,dc_subsea_transmission:DEU,14.000000000000002
NOR,dc_subsea_transmission:DNK,17.0
NOR,dc_subsea_transmission:GBR,34.0
NOR,dc_subsea_transmission:NLD,28.000000000000004
POL,ac_ohl_transmission:CZE,21.000000000000004
POL,ac_ohl_transmission:DEU,25.5
POL,ac_ohl_transmission:LTU,40.0
POL,ac_ohl_transmission:SVK,24.000000000000004
POL,dc_subsea_transmission:DNK,24.000000000000004
POL,dc_subsea_transmission:SWE,24.000000000000004
PRT,ac_ohl_transmission:ESP,35.50000000000001
ROU,ac_ohl_transmission:BGR,17.0
ROU,ac_ohl_transmission:HUN,14.000000000000002
ROU,ac_ohl_transmission:SRB,25.0
SRB,ac_ohl_mountain_transmission:MNE,29.000000000000004
SRB,ac_ohl_transmission:ALB,36.00000000000001
SRB,ac_ohl_transmission:BGR,36.00000000000001
SRB,ac_ohl_transmission:BIH,31.0
SRB,ac_ohl_transmission:HRV,28.000000000000004
SRB,ac_ohl_transmission:HUN,28.000000000000004
SRB,ac_ohl_transmission:MKD,19.0
SRB,ac_ohl_transmission:ROU,25.0
SVK,ac_ohl_transmission:CZE,27.0
SVK,ac_ohl_transmission:HUN,27.0
SVK,ac_ohl_transmission:POL,24.000000000000004
SVN,ac_ohl_mountain_transmission:AUT,16.0
SVN,ac_ohl_transmission:HRV,34.0
SVN,ac_ohl_transmission:HUN,36.00000000000001
SVN,ac_ohl_transmission:ITA,26.0
SVN,dc_underground_transmission:ITA,40.0
SWE,ac_ohl_transmission:DNK,17.0
SWE,ac_ohl_transmission:FIN,31.5
SWE,ac_ohl_transmission:NOR,40.980000000000004
SWE,dc_subsea_transmission:DEU,26.0
SWE,dc_subsea_transmission:DNK,29.600000000000005
SWE,dc_subsea_transmission:FIN,32.0
SWE,dc_subsea_transmission:LTU,28.000000000000004
SWE,dc_subsea_transmission:POL,24.000000000000004
