locs,area (km2),PV potential (GW),Wind potential (GW)
AUT,88.38086812663823,7.070469450131059,0.7070469450131058
BEL,66.44398513576016,5.315518810860812,0.5315518810860813
BGR,420.7089543114416,33.656716344915324,3.3656716344915325
HRV,275.47229482000694,22.037783585600554,2.2037783585600557
CYP,62.94904392492026,5.0359235139936205,0.5035923513993621
CZE,202.7515065735206,16.220120525881647,1.6220120525881647
DNK,181.83529400918636,14.546823520734907,1.4546823520734908
EST,117.50768263218924,9.40061461057514,0.940061461057514
FIN,4182.870272301603,334.62962178412823,33.46296217841282
FRA,2751.431527059991,220.11452216479927,22.011452216479928
DEU,1125.4715467765927,90.03772374212741,9.003772374212742
GRC,375.22229968896136,30.01778397511691,3.001778397511691
HUN,210.0156942144968,16.801255537159744,1.6801255537159743
IRL,2406.5951092410837,192.52760873928668,19.25276087392867
ITA,536.039924620185,42.8831939696148,4.28831939696148
LVA,88.56455162214115,7.085164129771292,0.7085164129771292
LTU,95.562951924745,7.6450361539796,0.76450361539796
LUX,14.336345294956118,1.1469076235964895,0.11469076235964894
NLD,258.301565984264,20.66412527874112,2.066412527874112
POL,428.3917638347484,34.27134110677987,3.4271341106779873
PRT,1046.6792905004695,83.73434324003756,8.373434324003757
ROU,420.34127642121166,33.627302113696935,3.3627302113696933
SVK,93.3078951057978,7.464631608463824,0.7464631608463824
SVN,15.518075125757605,1.2414460100606084,0.12414460100606084
ESP,5105.694177444559,408.45553419556467,40.84555341955647
SWE,5931.642715641763,474.53141725134105,47.4531417251341
GBR,3080.8408203148283,246.46726562518626,24.646726562518626
ALB,31.782581562176347,2.542606524974108,0.25426065249741076
BIH,172.96807383466512,13.83744590677321,1.383744590677321
MKD,111.70975968474522,8.936780774779617,0.8936780774779618
MNE,19.730258059687912,1.578420644775033,0.1578420644775033
NOR,8044.610076935729,643.5688061548583,64.35688061548584
SRB,156.2261083354242,12.498088666833935,1.2498088666833935
CHE,59.96765552600846,4.7974124420806765,0.47974124420806763
